Filesize,Blocksize,Buffersize,No. of Workers, Transfer Time,,
5kb,10240,5120,2,0.00207,,
50kb,10240,5120,2,0.00214,,
500kb,10240,5120,2,0.00406,,
5mb,10240,5120,2,0.02294,,
50mb,10240,5120,2,0.1498,,
500mb,10240,5120,2,1.34268,,
5kb,51200,512,2,0.00349,,
50kb,51200,512,2,0.00258,,
500kb,51200,512,2,0.00396,,
5mb,51200,512,2,0.00632,,
50mb,51200,512,2,0.03129,,
500mb,51200,512,2,0.27943,,
5kb,51200,1024,2,0.00361,,
50kb,51200,1024,2,0.00272,,
500kb,51200,1024,2,0.00396,,
5mb,51200,1024,2,0.00631,,
50mb,51200,1024,2,0.03146,,
500mb,51200,1024,2,0.28062,,
5kb,51200,5120,2,0.00286,,
50kb,51200,5120,2,0.00218,,
500kb,51200,5120,2,0.00396,,
5mb,51200,5120,2,0.00689,,
50mb,51200,5120,2,0.03087,,
500mb,51200,5120,2,0.27722,,
5kb,102400,512,2,0.00228,,
50kb,102400,512,2,0.00294,,
500kb,102400,512,2,0.00396,,
5mb,102400,512,2,0.00522,,
50mb,102400,512,2,0.01857,,
500mb,102400,512,2,0.14474,,
5kb,102400,1024,2,0.00226,,
50kb,102400,1024,2,0.00294,,
500kb,102400,1024,2,0.00396,,
5mb,102400,1024,2,0.00531,,
50mb,102400,1024,2,0.01632,,
500mb,102400,1024,2,0.14716,,
5kb,102400,5120,2,0.0021,,
50kb,102400,5120,2,0.00283,,
500kb,102400,5120,2,0.00396,,
5mb,102400,5120,2,0.00522,,
50mb,102400,5120,2,0.01488,,
500mb,102400,5120,2,0.148,,
5kb,1024000,512,2,0.0043,,
50kb,1024000,512,2,0.00487,,
500kb,1024000,512,2,0.00578,,
5mb,1024000,512,2,0.0055,,
50mb,1024000,512,2,0.01923,,
500mb,1024000,512,2,0.0288,,
5kb,1024000,1024,2,0.00482,,
50kb,1024000,1024,2,0.00506,,
500kb,1024000,1024,2,0.00583,,
5mb,1024000,1024,2,0.00573,,
50mb,1024000,1024,2,0.01223,,
500mb,1024000,1024,2,0.02285,,
5kb,1024000,5120,2,0.00486,,
50kb,1024000,5120,2,0.005,,
500kb,1024000,5120,2,0.00526,,
5mb,1024000,5120,2,0.00545,,
50mb,1024000,5120,2,0.00905,,
500mb,1024000,5120,2,0.02153,,
